location,Mname,date
DNK,Moderna,2021/5/7
DNK,Oxford/AstraZeneca,2021/5/7
DNK,Pfizer/BioNTech,2021/5/7
DNK,Johnson&Johnson,2021/5/14
DNK,Moderna,2021/5/14
DNK,Oxford/AstraZeneca,2021/5/14
DNK,Pfizer/BioNTech,2021/5/14
DNK,Johnson&Johnson,2021/5/21
DNK,Moderna,2021/5/21
DNK,Oxford/AstraZeneca,2021/5/21
DNK,Pfizer/BioNTech,2021/5/21
DNK,Johnson&Johnson,2021/5/28
DNK,Moderna,2021/5/28
DNK,Oxford/AstraZeneca,2021/5/28
DNK,Pfizer/BioNTech,2021/5/28
DNK,Johnson&Johnson,2021/6/4
DNK,Moderna,2021/6/4
DNK,Oxford/AstraZeneca,2021/6/4
DNK,Pfizer/BioNTech,2021/6/4
DNK,Johnson&Johnson,2021/6/11
DNK,Moderna,2021/6/11
DNK,Oxford/AstraZeneca,2021/6/11
DNK,Pfizer/BioNTech,2021/6/11
DNK,Johnson&Johnson,2021/6/18
DNK,Moderna,2021/6/18
DNK,Oxford/AstraZeneca,2021/6/18
DNK,Pfizer/BioNTech,2021/6/18
DNK,Johnson&Johnson,2021/6/25
DNK,Moderna,2021/6/25
DNK,Oxford/AstraZeneca,2021/6/25
DNK,Pfizer/BioNTech,2021/6/25
DNK,Johnson&Johnson,2021/7/2
DNK,Moderna,2021/7/2
DNK,Oxford/AstraZeneca,2021/7/2
DNK,Pfizer/BioNTech,2021/7/2
DNK,Johnson&Johnson,2021/7/9
DNK,Moderna,2021/7/9
DNK,Oxford/AstraZeneca,2021/7/9
DNK,Pfizer/BioNTech,2021/7/9
DNK,Johnson&Johnson,2021/7/16
DNK,Moderna,2021/7/16
DNK,Oxford/AstraZeneca,2021/7/16
DNK,Pfizer/BioNTech,2021/7/16
DNK,Johnson&Johnson,2021/7/23
DNK,Moderna,2021/7/23
DNK,Oxford/AstraZeneca,2021/7/23
DNK,Pfizer/BioNTech,2021/7/23
DNK,Johnson&Johnson,2021/7/30
DNK,Moderna,2021/7/30
DNK,Oxford/AstraZeneca,2021/7/30
DNK,Pfizer/BioNTech,2021/7/30
DNK,Johnson&Johnson,2021/8/6
DNK,Moderna,2021/8/6
DNK,Oxford/AstraZeneca,2021/8/6
DNK,Pfizer/BioNTech,2021/8/6
DNK,Johnson&Johnson,2021/8/13
DNK,Moderna,2021/8/13
DNK,Oxford/AstraZeneca,2021/8/13
DNK,Pfizer/BioNTech,2021/8/13
DNK,Johnson&Johnson,2021/8/20
DNK,Moderna,2021/8/20
DNK,Oxford/AstraZeneca,2021/8/20
DNK,Pfizer/BioNTech,2021/8/20
DNK,Johnson&Johnson,2021/8/27
DNK,Moderna,2021/8/27
DNK,Oxford/AstraZeneca,2021/8/27
DNK,Pfizer/BioNTech,2021/8/27
DNK,Johnson&Johnson,2021/9/3
DNK,Moderna,2021/9/3
DNK,Oxford/AstraZeneca,2021/9/3
DNK,Pfizer/BioNTech,2021/9/3
DNK,Johnson&Johnson,2021/9/10
DNK,Moderna,2021/9/10
DNK,Oxford/AstraZeneca,2021/9/10
DNK,Pfizer/BioNTech,2021/9/10
DNK,Johnson&Johnson,2021/9/17
DNK,Moderna,2021/9/17
DNK,Oxford/AstraZeneca,2021/9/17
DNK,Pfizer/BioNTech,2021/9/17
DNK,Johnson&Johnson,2021/9/24
DNK,Moderna,2021/9/24
DNK,Oxford/AstraZeneca,2021/9/24
DNK,Pfizer/BioNTech,2021/9/24
DNK,Johnson&Johnson,2021/10/1
DNK,Moderna,2021/10/1
DNK,Oxford/AstraZeneca,2021/10/1
DNK,Pfizer/BioNTech,2021/10/1
DNK,Johnson&Johnson,2021/10/8
DNK,Moderna,2021/10/8
DNK,Oxford/AstraZeneca,2021/10/8
DNK,Pfizer/BioNTech,2021/10/8
DNK,Johnson&Johnson,2021/10/15
DNK,Moderna,2021/10/15
DNK,Oxford/AstraZeneca,2021/10/15
DNK,Pfizer/BioNTech,2021/10/15
DNK,Johnson&Johnson,2021/10/22
DNK,Moderna,2021/10/22
DNK,Oxford/AstraZeneca,2021/10/22
DNK,Pfizer/BioNTech,2021/10/22
DNK,Johnson&Johnson,2021/10/29
DNK,Moderna,2021/10/29
DNK,Oxford/AstraZeneca,2021/10/29
DNK,Pfizer/BioNTech,2021/10/29
DNK,Johnson&Johnson,2021/11/5
DNK,Moderna,2021/11/5
DNK,Oxford/AstraZeneca,2021/11/5
DNK,Pfizer/BioNTech,2021/11/5
DNK,Johnson&Johnson,2021/11/12
DNK,Moderna,2021/11/12
DNK,Oxford/AstraZeneca,2021/11/12
DNK,Pfizer/BioNTech,2021/11/12
DNK,Johnson&Johnson,2021/11/19
DNK,Moderna,2021/11/19
DNK,Oxford/AstraZeneca,2021/11/19
DNK,Pfizer/BioNTech,2021/11/19
DNK,Johnson&Johnson,2021/11/26
DNK,Moderna,2021/11/26
DNK,Oxford/AstraZeneca,2021/11/26
DNK,Pfizer/BioNTech,2021/11/26
DNK,Johnson&Johnson,2021/12/3
DNK,Moderna,2021/12/3
DNK,Oxford/AstraZeneca,2021/12/3
DNK,Pfizer/BioNTech,2021/12/3
DNK,Johnson&Johnson,2021/12/10
DNK,Moderna,2021/12/10
DNK,Oxford/AstraZeneca,2021/12/10
DNK,Pfizer/BioNTech,2021/12/10
DNK,Johnson&Johnson,2021/12/17
DNK,Moderna,2021/12/17
DNK,Oxford/AstraZeneca,2021/12/17
DNK,Pfizer/BioNTech,2021/12/17
DNK,Johnson&Johnson,2021/12/24
DNK,Moderna,2021/12/24
DNK,Oxford/AstraZeneca,2021/12/24
DNK,Pfizer/BioNTech,2021/12/24
DNK,Johnson&Johnson,2021/12/31
DNK,Moderna,2021/12/31
DNK,Oxford/AstraZeneca,2021/12/31
DNK,Pfizer/BioNTech,2021/12/31
DNK,Johnson&Johnson,2022/1/7
DNK,Moderna,2022/1/7
DNK,Oxford/AstraZeneca,2022/1/7
DNK,Pfizer/BioNTech,2022/1/7
DNK,Johnson&Johnson,2022/1/14
DNK,Moderna,2022/1/14
DNK,Oxford/AstraZeneca,2022/1/14
DNK,Pfizer/BioNTech,2022/1/14
DNK,Johnson&Johnson,2022/1/21
DNK,Moderna,2022/1/21
DNK,Oxford/AstraZeneca,2022/1/21
DNK,Pfizer/BioNTech,2022/1/21
DNK,Johnson&Johnson,2022/1/28
DNK,Moderna,2022/1/28
DNK,Oxford/AstraZeneca,2022/1/28
DNK,Pfizer/BioNTech,2022/1/28
DNK,Johnson&Johnson,2022/2/4
DNK,Moderna,2022/2/4
DNK,Oxford/AstraZeneca,2022/2/4
DNK,Pfizer/BioNTech,2022/2/4
DNK,Johnson&Johnson,2022/2/11
DNK,Moderna,2022/2/11
DNK,Oxford/AstraZeneca,2022/2/11
DNK,Pfizer/BioNTech,2022/2/11
DNK,Johnson&Johnson,2022/2/18
DNK,Moderna,2022/2/18
DNK,Oxford/AstraZeneca,2022/2/18
DNK,Pfizer/BioNTech,2022/2/18
DNK,Johnson&Johnson,2022/2/25
DNK,Moderna,2022/2/25
DNK,Oxford/AstraZeneca,2022/2/25
DNK,Pfizer/BioNTech,2022/2/25
DNK,Johnson&Johnson,2022/3/4
DNK,Moderna,2022/3/4
DNK,Oxford/AstraZeneca,2022/3/4
DNK,Pfizer/BioNTech,2022/3/4
DNK,Johnson&Johnson,2022/3/11
DNK,Moderna,2022/3/11
DNK,Oxford/AstraZeneca,2022/3/11
DNK,Pfizer/BioNTech,2022/3/11
DNK,Johnson&Johnson,2022/3/18
DNK,Moderna,2022/3/18
DNK,Oxford/AstraZeneca,2022/3/18
DNK,Pfizer/BioNTech,2022/3/18
DNK,Johnson&Johnson,2022/3/25
DNK,Moderna,2022/3/25
DNK,Oxford/AstraZeneca,2022/3/25
DNK,Pfizer/BioNTech,2022/3/25
DNK,Johnson&Johnson,2022/4/1
DNK,Moderna,2022/4/1
DNK,Oxford/AstraZeneca,2022/4/1
DNK,Pfizer/BioNTech,2022/4/1
DNK,Johnson&Johnson,2022/4/8
DNK,Moderna,2022/4/8
DNK,Oxford/AstraZeneca,2022/4/8
DNK,Pfizer/BioNTech,2022/4/8
DNK,Johnson&Johnson,2022/4/15
DNK,Moderna,2022/4/15
DNK,Oxford/AstraZeneca,2022/4/15
DNK,Pfizer/BioNTech,2022/4/15
DNK,Johnson&Johnson,2022/4/22
DNK,Moderna,2022/4/22
DNK,Oxford/AstraZeneca,2022/4/22
DNK,Pfizer/BioNTech,2022/4/22
DNK,Johnson&Johnson,2022/4/29
DNK,Moderna,2022/4/29
DNK,Oxford/AstraZeneca,2022/4/29
DNK,Pfizer/BioNTech,2022/4/29
DNK,Johnson&Johnson,2022/5/6
DNK,Moderna,2022/5/6
DNK,Oxford/AstraZeneca,2022/5/6
DNK,Pfizer/BioNTech,2022/5/6
DNK,Johnson&Johnson,2022/5/13
DNK,Moderna,2022/5/13
DNK,Oxford/AstraZeneca,2022/5/13
DNK,Pfizer/BioNTech,2022/5/13
DNK,Johnson&Johnson,2022/5/20
DNK,Moderna,2022/5/20
DNK,Oxford/AstraZeneca,2022/5/20
DNK,Pfizer/BioNTech,2022/5/20
DNK,Johnson&Johnson,2022/5/27
DNK,Moderna,2022/5/27
DNK,Oxford/AstraZeneca,2022/5/27
DNK,Pfizer/BioNTech,2022/5/27
DNK,Johnson&Johnson,2022/6/3
DNK,Moderna,2022/6/3
DNK,Oxford/AstraZeneca,2022/6/3
DNK,Pfizer/BioNTech,2022/6/3
DNK,Johnson&Johnson,2022/6/10
DNK,Moderna,2022/6/10
DNK,Oxford/AstraZeneca,2022/6/10
DNK,Pfizer/BioNTech,2022/6/10
DNK,Johnson&Johnson,2022/6/17
DNK,Moderna,2022/6/17
DNK,Oxford/AstraZeneca,2022/6/17
DNK,Pfizer/BioNTech,2022/6/17
DNK,Johnson&Johnson,2022/6/24
DNK,Moderna,2022/6/24
DNK,Oxford/AstraZeneca,2022/6/24
DNK,Pfizer/BioNTech,2022/6/24
DNK,Johnson&Johnson,2022/7/1
DNK,Moderna,2022/7/1
DNK,Oxford/AstraZeneca,2022/7/1
DNK,Pfizer/BioNTech,2022/7/1
DNK,Johnson&Johnson,2022/7/8
DNK,Moderna,2022/7/8
DNK,Oxford/AstraZeneca,2022/7/8
DNK,Pfizer/BioNTech,2022/7/8
DNK,Johnson&Johnson,2022/7/15
DNK,Moderna,2022/7/15
DNK,Oxford/AstraZeneca,2022/7/15
DNK,Pfizer/BioNTech,2022/7/15
DNK,Johnson&Johnson,2022/7/22
DNK,Moderna,2022/7/22
DNK,Oxford/AstraZeneca,2022/7/22
DNK,Pfizer/BioNTech,2022/7/22
DNK,Johnson&Johnson,2022/7/29
DNK,Moderna,2022/7/29
DNK,Oxford/AstraZeneca,2022/7/29
DNK,Pfizer/BioNTech,2022/7/29
DNK,Johnson&Johnson,2022/8/5
DNK,Moderna,2022/8/5
DNK,Oxford/AstraZeneca,2022/8/5
DNK,Pfizer/BioNTech,2022/8/5
DNK,Johnson&Johnson,2022/8/12
DNK,Moderna,2022/8/12
DNK,Oxford/AstraZeneca,2022/8/12
DNK,Pfizer/BioNTech,2022/8/12
DNK,Johnson&Johnson,2022/8/19
DNK,Moderna,2022/8/19
DNK,Oxford/AstraZeneca,2022/8/19
DNK,Pfizer/BioNTech,2022/8/19
DNK,Johnson&Johnson,2022/8/26
DNK,Moderna,2022/8/26
DNK,Oxford/AstraZeneca,2022/8/26
DNK,Pfizer/BioNTech,2022/8/26
DNK,Johnson&Johnson,2022/9/2
DNK,Moderna,2022/9/2
DNK,Oxford/AstraZeneca,2022/9/2
DNK,Pfizer/BioNTech,2022/9/2
DNK,Johnson&Johnson,2022/9/9
DNK,Moderna,2022/9/9
DNK,Oxford/AstraZeneca,2022/9/9
DNK,Pfizer/BioNTech,2022/9/9
DNK,Johnson&Johnson,2022/9/16
DNK,Moderna,2022/9/16
DNK,Oxford/AstraZeneca,2022/9/16
DNK,Pfizer/BioNTech,2022/9/16
DNK,Johnson&Johnson,2022/9/23
DNK,Moderna,2022/9/23
DNK,Oxford/AstraZeneca,2022/9/23
DNK,Pfizer/BioNTech,2022/9/23
DNK,Johnson&Johnson,2022/9/30
DNK,Moderna,2022/9/30
DNK,Oxford/AstraZeneca,2022/9/30
DNK,Pfizer/BioNTech,2022/9/30
DNK,Johnson&Johnson,2022/10/7
DNK,Moderna,2022/10/7
DNK,Oxford/AstraZeneca,2022/10/7
DNK,Pfizer/BioNTech,2022/10/7
DNK,Johnson&Johnson,2022/10/14
DNK,Moderna,2022/10/14
DNK,Oxford/AstraZeneca,2022/10/14
DNK,Pfizer/BioNTech,2022/10/14
DNK,Johnson&Johnson,2022/10/21
DNK,Moderna,2022/10/21
DNK,Oxford/AstraZeneca,2022/10/21
DNK,Pfizer/BioNTech,2022/10/21
DNK,Johnson&Johnson,2022/10/28
DNK,Moderna,2022/10/28
DNK,Oxford/AstraZeneca,2022/10/28
DNK,Pfizer/BioNTech,2022/10/28
DNK,Johnson&Johnson,2022/11/4
DNK,Moderna,2022/11/4
DNK,Oxford/AstraZeneca,2022/11/4
DNK,Pfizer/BioNTech,2022/11/4
DNK,Johnson&Johnson,2022/11/11
DNK,Moderna,2022/11/11
DNK,Oxford/AstraZeneca,2022/11/11
DNK,Pfizer/BioNTech,2022/11/11
DNK,Johnson&Johnson,2022/11/18
DNK,Moderna,2022/11/18
DNK,Oxford/AstraZeneca,2022/11/18
DNK,Pfizer/BioNTech,2022/11/18
DNK,Johnson&Johnson,2022/11/25
DNK,Moderna,2022/11/25
DNK,Oxford/AstraZeneca,2022/11/25
DNK,Pfizer/BioNTech,2022/11/25
DNK,Johnson&Johnson,2022/12/2
DNK,Moderna,2022/12/2
DNK,Oxford/AstraZeneca,2022/12/2
DNK,Pfizer/BioNTech,2022/12/2
DNK,Johnson&Johnson,2022/12/9
DNK,Moderna,2022/12/9
DNK,Oxford/AstraZeneca,2022/12/9
DNK,Pfizer/BioNTech,2022/12/9
DNK,Johnson&Johnson,2022/12/16
DNK,Moderna,2022/12/16
DNK,Oxford/AstraZeneca,2022/12/16
DNK,Pfizer/BioNTech,2022/12/16
DNK,Johnson&Johnson,2022/12/23
DNK,Moderna,2022/12/23
DNK,Oxford/AstraZeneca,2022/12/23
DNK,Pfizer/BioNTech,2022/12/23
DNK,Johnson&Johnson,2022/12/30
DNK,Moderna,2022/12/30
DNK,Oxford/AstraZeneca,2022/12/30
DNK,Pfizer/BioNTech,2022/12/30
DNK,Johnson&Johnson,2023/1/6
DNK,Moderna,2023/1/6
DNK,Oxford/AstraZeneca,2023/1/6
DNK,Pfizer/BioNTech,2023/1/6
DNK,Johnson&Johnson,2023/1/13
DNK,Moderna,2023/1/13
DNK,Oxford/AstraZeneca,2023/1/13
DNK,Pfizer/BioNTech,2023/1/13
DNK,Johnson&Johnson,2023/1/20
DNK,Moderna,2023/1/20
DNK,Oxford/AstraZeneca,2023/1/20
DNK,Pfizer/BioNTech,2023/1/20
DNK,Johnson&Johnson,2023/1/27
DNK,Moderna,2023/1/27
DNK,Oxford/AstraZeneca,2023/1/27
DNK,Pfizer/BioNTech,2023/1/27
DNK,Johnson&Johnson,2023/2/3
DNK,Moderna,2023/2/3
DNK,Oxford/AstraZeneca,2023/2/3
DNK,Pfizer/BioNTech,2023/2/3
DNK,Johnson&Johnson,2023/2/10
DNK,Moderna,2023/2/10
DNK,Oxford/AstraZeneca,2023/2/10
DNK,Pfizer/BioNTech,2023/2/10
DNK,Johnson&Johnson,2023/2/17
DNK,Moderna,2023/2/17
DNK,Oxford/AstraZeneca,2023/2/17
DNK,Pfizer/BioNTech,2023/2/17
DNK,Johnson&Johnson,2023/2/24
DNK,Moderna,2023/2/24
DNK,Oxford/AstraZeneca,2023/2/24
DNK,Pfizer/BioNTech,2023/2/24
DNK,Johnson&Johnson,2023/3/3
DNK,Moderna,2023/3/3
DNK,Oxford/AstraZeneca,2023/3/3
DNK,Pfizer/BioNTech,2023/3/3
DNK,Johnson&Johnson,2023/3/10
DNK,Moderna,2023/3/10
DNK,Oxford/AstraZeneca,2023/3/10
DNK,Pfizer/BioNTech,2023/3/10
DNK,Johnson&Johnson,2023/3/17
DNK,Moderna,2023/3/17
DNK,Oxford/AstraZeneca,2023/3/17
DNK,Pfizer/BioNTech,2023/3/17
DNK,Johnson&Johnson,2023/3/24
DNK,Moderna,2023/3/24
DNK,Oxford/AstraZeneca,2023/3/24
DNK,Pfizer/BioNTech,2023/3/24
DNK,Johnson&Johnson,2023/3/31
DNK,Moderna,2023/3/31
DNK,Oxford/AstraZeneca,2023/3/31
DNK,Pfizer/BioNTech,2023/3/31
DNK,Johnson&Johnson,2023/4/7
DNK,Moderna,2023/4/7
DNK,Oxford/AstraZeneca,2023/4/7
DNK,Pfizer/BioNTech,2023/4/7
DNK,Johnson&Johnson,2023/4/14
DNK,Moderna,2023/4/14
DNK,Oxford/AstraZeneca,2023/4/14
DNK,Pfizer/BioNTech,2023/4/14
DNK,Johnson&Johnson,2023/4/21
DNK,Moderna,2023/4/21
DNK,Oxford/AstraZeneca,2023/4/21
DNK,Pfizer/BioNTech,2023/4/21
DNK,Johnson&Johnson,2023/4/28
DNK,Moderna,2023/4/28
DNK,Oxford/AstraZeneca,2023/4/28
DNK,Pfizer/BioNTech,2023/4/28
DNK,Johnson&Johnson,2023/5/5
DNK,Moderna,2023/5/5
DNK,Oxford/AstraZeneca,2023/5/5
DNK,Pfizer/BioNTech,2023/5/5
DNK,Johnson&Johnson,2023/5/12
DNK,Moderna,2023/5/12
DNK,Oxford/AstraZeneca,2023/5/12
DNK,Pfizer/BioNTech,2023/5/12
DNK,Johnson&Johnson,2023/5/19
DNK,Moderna,2023/5/19
DNK,Oxford/AstraZeneca,2023/5/19
DNK,Pfizer/BioNTech,2023/5/19
DNK,Johnson&Johnson,2023/5/26
DNK,Moderna,2023/5/26
DNK,Oxford/AstraZeneca,2023/5/26
DNK,Pfizer/BioNTech,2023/5/26
DNK,Johnson&Johnson,2023/6/2
DNK,Moderna,2023/6/2
DNK,Oxford/AstraZeneca,2023/6/2
DNK,Pfizer/BioNTech,2023/6/2
DNK,Johnson&Johnson,2023/6/9
DNK,Moderna,2023/6/9
DNK,Oxford/AstraZeneca,2023/6/9
DNK,Pfizer/BioNTech,2023/6/9
DNK,Johnson&Johnson,2023/6/16
DNK,Moderna,2023/6/16
DNK,Oxford/AstraZeneca,2023/6/16
DNK,Pfizer/BioNTech,2023/6/16
DNK,Johnson&Johnson,2023/6/23
DNK,Moderna,2023/6/23
DNK,Oxford/AstraZeneca,2023/6/23
DNK,Pfizer/BioNTech,2023/6/23
DNK,Johnson&Johnson,2023/6/30
DNK,Moderna,2023/6/30
DNK,Oxford/AstraZeneca,2023/6/30
DNK,Pfizer/BioNTech,2023/6/30
DNK,Johnson&Johnson,2023/7/7
DNK,Moderna,2023/7/7
DNK,Oxford/AstraZeneca,2023/7/7
DNK,Pfizer/BioNTech,2023/7/7
DNK,Johnson&Johnson,2023/7/14
DNK,Moderna,2023/7/14
DNK,Oxford/AstraZeneca,2023/7/14
DNK,Pfizer/BioNTech,2023/7/14
DNK,Johnson&Johnson,2023/7/21
DNK,Moderna,2023/7/21
DNK,Oxford/AstraZeneca,2023/7/21
DNK,Pfizer/BioNTech,2023/7/21
DNK,Johnson&Johnson,2023/7/28
DNK,Moderna,2023/7/28
DNK,Oxford/AstraZeneca,2023/7/28
DNK,Pfizer/BioNTech,2023/7/28
DNK,Johnson&Johnson,2023/8/4
DNK,Moderna,2023/8/4
DNK,Oxford/AstraZeneca,2023/8/4
DNK,Pfizer/BioNTech,2023/8/4
DNK,Johnson&Johnson,2023/8/11
DNK,Moderna,2023/8/11
DNK,Oxford/AstraZeneca,2023/8/11
DNK,Pfizer/BioNTech,2023/8/11
DNK,Johnson&Johnson,2023/8/18
DNK,Moderna,2023/8/18
DNK,Oxford/AstraZeneca,2023/8/18
DNK,Pfizer/BioNTech,2023/8/18
DNK,Johnson&Johnson,2023/8/25
DNK,Moderna,2023/8/25
DNK,Oxford/AstraZeneca,2023/8/25
DNK,Pfizer/BioNTech,2023/8/25
DNK,Johnson&Johnson,2023/9/1
DNK,Moderna,2023/9/1
DNK,Oxford/AstraZeneca,2023/9/1
DNK,Pfizer/BioNTech,2023/9/1
DNK,Johnson&Johnson,2023/9/8
DNK,Moderna,2023/9/8
DNK,Oxford/AstraZeneca,2023/9/8
DNK,Pfizer/BioNTech,2023/9/8
DNK,Johnson&Johnson,2023/9/15
DNK,Moderna,2023/9/15
DNK,Oxford/AstraZeneca,2023/9/15
DNK,Pfizer/BioNTech,2023/9/15
DNK,Johnson&Johnson,2023/9/22
DNK,Moderna,2023/9/22
DNK,Oxford/AstraZeneca,2023/9/22
DNK,Pfizer/BioNTech,2023/9/22
DNK,Johnson&Johnson,2023/9/29
DNK,Moderna,2023/9/29
DNK,Oxford/AstraZeneca,2023/9/29
DNK,Pfizer/BioNTech,2023/9/29
OWID_WLS,Oxford/AstraZeneca,2021/1/10
OWID_WLS,Pfizer/BioNTech,2021/1/10
OWID_WLS,Oxford/AstraZeneca,2021/1/11
OWID_WLS,Pfizer/BioNTech,2021/1/11
OWID_WLS,Oxford/AstraZeneca,2021/1/12
OWID_WLS,Pfizer/BioNTech,2021/1/12
OWID_WLS,Oxford/AstraZeneca,2021/1/13
OWID_WLS,Pfizer/BioNTech,2021/1/13
OWID_WLS,Oxford/AstraZeneca,2021/1/14
OWID_WLS,Pfizer/BioNTech,2021/1/14
OWID_WLS,Oxford/AstraZeneca,2021/1/17
OWID_WLS,Pfizer/BioNTech,2021/1/17
OWID_WLS,Oxford/AstraZeneca,2021/1/18
OWID_WLS,Pfizer/BioNTech,2021/1/18
OWID_WLS,Oxford/AstraZeneca,2021/1/19
OWID_WLS,Pfizer/BioNTech,2021/1/19
OWID_WLS,Oxford/AstraZeneca,2021/1/20
OWID_WLS,Pfizer/BioNTech,2021/1/20
OWID_WLS,Oxford/AstraZeneca,2021/1/21
OWID_WLS,Pfizer/BioNTech,2021/1/21
OWID_WLS,Oxford/AstraZeneca,2021/1/22
OWID_WLS,Pfizer/BioNTech,2021/1/22
OWID_WLS,Oxford/AstraZeneca,2021/1/23
OWID_WLS,Pfizer/BioNTech,2021/1/23
OWID_WLS,Oxford/AstraZeneca,2021/1/24
OWID_WLS,Pfizer/BioNTech,2021/1/24
OWID_WLS,Oxford/AstraZeneca,2021/1/25
OWID_WLS,Pfizer/BioNTech,2021/1/25
OWID_WLS,Oxford/AstraZeneca,2021/1/26
OWID_WLS,Pfizer/BioNTech,2021/1/26
OWID_WLS,Oxford/AstraZeneca,2021/1/27
OWID_WLS,Pfizer/BioNTech,2021/1/27
OWID_WLS,Oxford/AstraZeneca,2021/1/28
OWID_WLS,Pfizer/BioNTech,2021/1/28
OWID_WLS,Oxford/AstraZeneca,2021/1/29
OWID_WLS,Pfizer/BioNTech,2021/1/29
OWID_WLS,Oxford/AstraZeneca,2021/1/30
OWID_WLS,Pfizer/BioNTech,2021/1/30
OWID_WLS,Oxford/AstraZeneca,2021/1/31
OWID_WLS,Pfizer/BioNTech,2021/1/31
OWID_WLS,Oxford/AstraZeneca,2021/2/1
OWID_WLS,Pfizer/BioNTech,2021/2/1
OWID_WLS,Oxford/AstraZeneca,2021/2/2
OWID_WLS,Pfizer/BioNTech,2021/2/2
OWID_WLS,Oxford/AstraZeneca,2021/2/3
OWID_WLS,Pfizer/BioNTech,2021/2/3
OWID_WLS,Oxford/AstraZeneca,2021/2/4
OWID_WLS,Pfizer/BioNTech,2021/2/4
OWID_WLS,Oxford/AstraZeneca,2021/2/5
OWID_WLS,Pfizer/BioNTech,2021/2/5
OWID_WLS,Oxford/AstraZeneca,2021/2/6
OWID_WLS,Pfizer/BioNTech,2021/2/6
OWID_WLS,Oxford/AstraZeneca,2021/2/7
OWID_WLS,Pfizer/BioNTech,2021/2/7
OWID_WLS,Oxford/AstraZeneca,2021/2/8
OWID_WLS,Pfizer/BioNTech,2021/2/8
OWID_WLS,Oxford/AstraZeneca,2021/2/9
OWID_WLS,Pfizer/BioNTech,2021/2/9
OWID_WLS,Oxford/AstraZeneca,2021/2/10
OWID_WLS,Pfizer/BioNTech,2021/2/10
OWID_WLS,Oxford/AstraZeneca,2021/2/11
OWID_WLS,Pfizer/BioNTech,2021/2/11
OWID_WLS,Oxford/AstraZeneca,2021/2/12
OWID_WLS,Pfizer/BioNTech,2021/2/12
OWID_WLS,Oxford/AstraZeneca,2021/2/13
OWID_WLS,Pfizer/BioNTech,2021/2/13
OWID_WLS,Oxford/AstraZeneca,2021/2/14
OWID_WLS,Pfizer/BioNTech,2021/2/14
OWID_WLS,Oxford/AstraZeneca,2021/2/15
OWID_WLS,Pfizer/BioNTech,2021/2/15
